loan_id,user_id,library_book_id,loan_date,due_date,return_date
1,54,75,2023-08-08,2023-08-22,
2,70,35,2024-06-04,2024-06-18,2024-06-13
3,89,76,2024-05-13,2024-05-27,
4,55,93,2024-02-20,2024-03-05,
5,53,93,2024-02-08,2024-02-22,
6,73,4,2024-04-07,2024-04-21,
7,90,10,2023-08-17,2023-08-31,
8,46,17,2024-05-03,2024-05-17,2024-05-10
9,43,20,2023-11-14,2023-11-28,2023-11-30
10,2,6,2023-10-07,2023-10-21,
11,42,27,2024-01-09,2024-01-23,2024-01-12
12,77,27,2023-10-22,2023-11-05,2023-11-06
13,22,12,2024-06-06,2024-06-20,2024-06-28
14,35,93,2023-10-30,2023-11-13,
15,54,36,2023-09-21,2023-10-05,2023-09-25
16,10,81,2024-01-26,2024-02-09,2024-02-19
17,6,47,2023-12-16,2023-12-30,2023-12-26
18,11,54,2023-09-24,2023-10-08,2023-09-28
19,34,100,2024-03-22,2024-04-05,2024-04-04
20,81,48,2024-05-06,2024-05-20,2024-05-09
21,39,79,2023-07-26,2023-08-09,
22,56,100,2023-12-03,2023-12-17,2023-12-06
24,79,95,2024-01-16,2024-01-30,
25,53,87,2023-10-08,2023-10-22,2023-10-27
26,90,5,2024-06-27,2024-07-11,
27,44,8,2023-12-30,2024-01-13,2024-01-04
29,40,75,2023-07-25,2023-08-08,2023-08-22
30,63,50,2023-12-09,2023-12-23,
31,76,44,2023-08-17,2023-08-31,2023-09-03
32,85,44,2024-02-18,2024-03-03,2024-03-17
33,42,54,2024-05-02,2024-05-16,
34,86,67,2024-01-18,2024-02-01,2024-01-20
35,5,7,2023-12-01,2023-12-15,
36,8,54,2023-12-25,2024-01-08,
37,60,67,2024-05-24,2024-06-07,
38,17,70,2023-08-08,2023-08-22,2023-08-09
39,38,49,2024-02-20,2024-03-05,
40,82,77,2023-12-08,2023-12-22,2023-12-31
41,65,45,2023-09-15,2023-09-29,
42,12,91,2024-06-21,2024-07-05,2024-07-04
43,1,2,2023-07-14,2023-07-28,
44,23,13,2024-03-09,2024-03-23,2024-03-13
45,37,19,2024-05-02,2024-05-16,2024-05-09
46,99,80,2023-10-04,2023-10-18,
47,65,60,2024-06-02,2024-06-16,2024-06-18
48,15,35,2023-12-17,2023-12-31,2024-01-12
49,71,79,2023-09-06,2023-09-20,
50,63,17,2024-05-13,2024-05-27,2024-06-03
52,12,18,2023-09-20,2023-10-04,2023-10-06
53,59,80,2024-03-19,2024-04-02,
54,2,6,2023-10-27,2023-11-10,
55,36,24,2024-01-11,2024-01-25,2024-02-01
56,20,18,2024-04-17,2024-05-01,2024-04-25
57,27,79,2024-03-20,2024-04-03,
58,68,10,2023-11-07,2023-11-21,2023-12-07
59,45,18,2023-10-18,2023-11-01,2023-10-26
60,3,86,2024-05-31,2024-06-14,
61,57,48,2024-04-20,2024-05-04,
62,24,32,2023-08-27,2023-09-10,2023-08-29
64,60,23,2023-11-29,2023-12-13,
65,16,3,2024-05-08,2024-05-22,
66,61,7,2023-08-23,2023-09-06,
67,98,71,2023-07-29,2023-08-12,
68,77,15,2024-04-07,2024-04-21,
69,74,83,2024-04-09,2024-04-23,2024-04-16
70,30,43,2023-09-02,2023-09-16,2023-10-01
71,6,47,2024-05-23,2024-06-06,
72,97,29,2024-03-28,2024-04-11,2024-04-23
73,44,37,2023-12-06,2023-12-20,
75,73,35,2023-09-05,2023-09-19,
77,78,51,2023-07-23,2023-08-06,
78,52,97,2023-10-22,2023-11-05,
79,82,77,2023-12-13,2023-12-27,2024-01-09
80,27,21,2023-10-25,2023-11-08,
81,83,1,2024-04-28,2024-05-12,
82,79,52,2023-09-10,2023-09-24,
83,16,69,2024-02-29,2024-03-14,
84,11,61,2024-06-14,2024-06-28,
85,39,24,2023-07-21,2023-08-04,
86,36,50,2023-07-23,2023-08-06,2023-08-10
88,100,83,2023-11-20,2023-12-04,
89,14,90,2023-07-15,2023-07-29,2023-07-20
90,80,75,2023-07-17,2023-07-31,
91,70,95,2023-10-23,2023-11-06,2023-11-05
92,14,69,2023-11-04,2023-11-18,2023-11-18
94,81,88,2023-12-26,2024-01-09,2024-01-01
96,94,45,2023-12-27,2024-01-10,2024-01-13
98,26,17,2024-05-28,2024-06-11,
99,28,90,2023-08-24,2023-09-07,2023-09-10
101,66,91,2023-09-06,2023-09-20,
103,100,66,2024-06-28,2024-07-12,2024-07-11
104,20,91,2024-02-24,2024-03-09,2024-03-01
105,92,16,2023-12-14,2023-12-28,2024-01-02
106,51,74,2024-02-05,2024-02-19,2024-02-20
108,21,3,2023-09-10,2023-09-24,2023-09-28
109,91,15,2023-10-05,2023-10-19,2023-10-16
110,84,58,2024-05-28,2024-06-11,2024-06-01
112,59,96,2023-10-05,2023-10-19,2023-10-27
114,89,75,2023-09-19,2023-10-03,
115,57,23,2023-12-18,2024-01-01,
116,30,52,2024-06-16,2024-06-30,
117,49,18,2024-01-20,2024-02-03,
118,62,52,2024-04-06,2024-04-20,2024-04-18
119,69,30,2024-01-07,2024-01-21,2024-01-20
120,97,76,2024-04-28,2024-05-12,2024-05-06
122,28,79,2023-08-21,2023-09-04,
123,62,7,2024-03-22,2024-04-05,
127,48,99,2024-02-09,2024-02-23,
129,92,78,2024-04-17,2024-05-01,
130,86,73,2023-10-08,2023-10-22,2023-11-05
132,35,57,2024-01-16,2024-01-30,
135,64,40,2023-12-22,2024-01-05,
137,93,4,2023-10-08,2023-10-22,
139,45,10,2024-03-05,2024-03-19,2024-03-21
140,8,60,2023-10-07,2023-10-21,
141,43,10,2024-05-25,2024-06-08,2024-06-01
142,24,73,2024-06-01,2024-06-15,
143,91,8,2023-08-21,2023-09-04,
147,23,88,2024-01-30,2024-02-13,
148,40,5,2024-03-12,2024-03-26,
149,25,1,2024-04-19,2024-05-03,2024-05-11
150,88,32,2024-05-22,2024-06-05,
152,32,21,2023-09-18,2023-10-02,
153,93,66,2024-04-13,2024-04-27,2024-04-18
156,38,23,2024-02-18,2024-03-03,
158,72,56,2023-07-13,2023-07-27,
160,99,77,2024-04-15,2024-04-29,
162,46,80,2023-09-09,2023-09-23,2023-10-09
163,74,52,2023-12-07,2023-12-21,
166,31,46,2024-05-08,2024-05-22,2024-05-22
169,50,27,2024-01-05,2024-01-19,
170,22,85,2024-05-21,2024-06-04,
171,5,47,2023-09-05,2023-09-19,
173,67,14,2024-06-15,2024-06-29,2024-07-02
174,72,49,2024-03-26,2024-04-09,2024-04-03
175,95,21,2023-12-16,2023-12-30,2023-12-27
179,58,38,2023-08-07,2023-08-21,2023-08-27
180,84,57,2023-08-09,2023-08-23,
181,67,79,2023-09-14,2023-09-28,2023-10-01
182,85,9,2023-11-24,2023-12-08,2023-12-16
184,76,46,2023-08-07,2023-08-21,
185,33,96,2023-12-05,2023-12-19,2023-12-31
188,29,77,2024-01-17,2024-01-31,
190,17,84,2024-01-25,2024-02-08,2024-02-11
196,78,28,2023-12-12,2023-12-26,2023-12-14
199,64,27,2024-01-30,2024-02-13,
200,31,90,2024-06-27,2024-07-11,
